Date,Time,X,X Dev,Y,Y Dev
30-Jan-25,12:00:05 AM,0.0383,-0.0052,0.0788,-0.0172
30-Jan-25,12:00:10 AM,0.0387,-0.0048,0.0785,-0.0175
30-Jan-25,12:00:15 AM,0.0384,-0.0051,0.0783,-0.0177
30-Jan-25,12:00:20 AM,0.0385,-0.005,0.0783,-0.0177
30-Jan-25,12:00:25 AM,0.0385,-0.005,0.0783,-0.0177
30-Jan-25,12:00:30 AM,0.0383,-0.0052,0.0803,-0.0157
30-Jan-25,12:00:35 AM,0.0383,-0.0052,0.0792,-0.0168
30-Jan-25,12:00:40 AM,0.0383,-0.0052,0.0794,-0.0166
30-Jan-25,12:00:45 AM,0.0382,-0.0053,0.0785,-0.0175
30-Jan-25,12:00:50 AM,0.0385,-0.005,0.0796,-0.0164
30-Jan-25,12:00:55 AM,0.038,-0.0055,0.0793,-0.0167
30-Jan-25,12:01:00 AM,0.0381,-0.0054,0.0789,-0.0171
30-Jan-25,12:01:05 AM,0.0382,-0.0053,0.0782,-0.0178
30-Jan-25,12:01:10 AM,0.0383,-0.0052,0.0785,-0.0175
30-Jan-25,12:01:15 AM,0.0385,-0.005,0.0784,-0.0176
30-Jan-25,12:01:20 AM,0.0383,-0.0052,0.0786,-0.0174
30-Jan-25,12:01:25 AM,0.0383,-0.0052,0.079,-0.017
30-Jan-25,12:01:30 AM,0.0383,-0.0052,0.0789,-0.0171
30-Jan-25,12:01:35 AM,0.0381,-0.0054,0.0791,-0.0169
30-Jan-25,12:01:40 AM,0.0382,-0.0053,0.0788,-0.0172
30-Jan-25,12:01:45 AM,0.0386,-0.0049,0.0781,-0.0179
30-Jan-25,12:01:50 AM,0.0385,-0.005,0.0786,-0.0174
30-Jan-25,12:01:55 AM,0.0383,-0.0052,0.0787,-0.0173
30-Jan-25,12:02:00 AM,0.0385,-0.005,0.0786,-0.0174
30-Jan-25,12:02:05 AM,0.0382,-0.0053,0.0785,-0.0175
30-Jan-25,12:02:10 AM,0.0382,-0.0053,0.078,-0.018
30-Jan-25,12:02:15 AM,0.0382,-0.0053,0.0784,-0.0176
30-Jan-25,12:02:20 AM,0.0382,-0.0053,0.0778,-0.0182
30-Jan-25,12:02:25 AM,0.0385,-0.005,0.0783,-0.0177
30-Jan-25,12:02:30 AM,0.0385,-0.005,0.0782,-0.0178
30-Jan-25,12:02:35 AM,0.0388,-0.0047,0.079,-0.017
30-Jan-25,12:02:40 AM,0.0385,-0.005,0.0857,-0.0103
30-Jan-25,12:02:45 AM,0.0398,-0.0037,0.0904,-0.0056
30-Jan-25,12:02:50 AM,0.0386,-0.0049,0.08,-0.016
