Timestamp,Running_Hours_Since_Last_Maintenance,Bearing_Vibration_Level,Motor_Temperature,Screw_Wear_Level,Lubrication_Status,Historical_Downtime_Hours
2025-01-04 15:33:52.855173,341,0.921,65.03,32.4,Good,3
2025-01-05 15:33:52.855173,492,0.858,72.28,82.9,Critical,0
2025-01-06 15:33:52.855173,183,0.163,72.21,37.8,Needs Lubrication,4
2025-01-07 15:33:52.855173,204,0.428,79.22,98.1,Good,2
2025-01-08 15:33:52.855173,480,1.458,72.53,89.6,Good,7
2025-01-09 15:33:52.855173,74,0.188,89.94,7.9,Good,3
2025-01-10 15:33:52.855173,267,1.105,67.5,2.1,Good,2
2025-01-11 15:33:52.855173,173,0.423,72.93,64.3,Good,0
2025-01-12 15:33:52.855173,157,0.806,85.84,30.6,Good,1
2025-01-13 15:33:52.855173,405,1.351,77.17,90.4,Good,3
2025-01-14 15:33:52.855173,470,1.044,75.65,100.0,Good,6
2025-01-15 15:33:52.855173,87,0.429,76.68,37.8,Critical,0
2025-01-16 15:33:52.855173,498,1.244,70.23,52.5,Needs Lubrication,7
2025-01-17 15:33:52.855173,102,0.293,74.37,50.2,Good,5
2025-01-18 15:33:52.855173,357,1.475,76.26,34.8,Needs Lubrication,7
2025-01-19 15:33:52.855173,152,1.324,75.43,92.1,Good,3
2025-01-20 15:33:52.855173,349,0.282,67.91,86.7,Needs Lubrication,3
2025-01-21 15:33:52.855173,392,0.636,80.16,81.4,Good,5
2025-01-22 15:33:52.855173,57,0.906,71.16,85.0,Critical,0
2025-01-23 15:33:52.855173,144,0.599,69.56,90.3,Good,4
2025-01-24 15:33:52.855173,230,1.125,86.22,5.3,Good,1
2025-01-25 15:33:52.855173,410,0.774,73.89,68.5,Good,3
2025-01-26 15:33:52.855173,398,0.258,78.06,86.1,Good,2
2025-01-27 15:33:52.855173,104,1.084,70.25,22.4,Good,5
2025-01-28 15:33:52.855173,393,1.241,79.89,99.8,Critical,1
2025-01-29 15:33:52.855173,401,0.129,72.44,18.7,Good,2
2025-01-30 15:33:52.855173,121,1.209,70.84,71.5,Good,3
2025-01-31 15:33:52.855173,383,0.281,71.41,35.9,Good,5
2025-02-01 15:33:52.855173,318,0.872,72.74,11.2,Good,1
2025-02-02 15:33:52.855173,210,0.399,81.93,88.2,Good,2
2025-02-03 15:33:52.855173,321,0.923,77.74,64.9,Good,1
